Timestamp,Iteration,Pipeline_Type,Build_Time_Sec,SBOM_Time_Sec,Scan_Time_Sec,Total_Time_Sec
2026-08-06 01:14:42,39,Secure,0.292,6.874,0.242,7.409
2026-08-06 01:14:50,40,Secure,0.273,6.670,0.199,7.141
2026-08-06 01:14:57,41,Secure,0.311,6.599,0.194,7.104
2026-08-06 01:15:04,42,Secure,0.304,6.103,0.200,6.607
2026-08-06 01:15:11,43,Secure,0.356,6.807,0.224,7.387
2026-08-06 01:15:18,44,Secure,0.199,6.740,0.205,7.144
2026-08-06 01:15:25,45,Secure,0.312,6.972,0.237,7.521
2026-08-06 01:15:33,46,Secure,0.224,6.678,0.177,7.078
2026-08-06 01:15:40,47,Secure,0.258,6.067,0.191,6.516
2026-08-06 01:15:46,48,Secure,0.255,8.249,0.175,8.678
2026-08-06 01:15:55,49,Secure,0.218,6.754,0.210,7.182
2026-08-06 01:16:02,50,Secure,0.243,8.312,0.205,8.760
